# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
1.7405 2.9707 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8950 3.3952 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
2.0497 3.8195 -393923.1012 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8022 -4.2778 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0114 0.0114 0.0000
-0.6478 -3.8531 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0022 0.0022 0.0000
-0.4936 -3.4283 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.3395 -3.0035 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0052 0.0052 0.0000
-0.1856 -2.5787 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0428 -0.0064 0.0000
-0.0318 -2.1538 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.1040 -0.0278 0.0000
0.1220 -1.7289 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.1665 -0.0395 0.0000
0.2756 -1.3040 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.2252 -0.0406 0.0000
0.4292 -0.8791 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.2739 -0.0315 0.0000
0.5828 -0.4541 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.3063 -0.0139 0.0000
0.7364 -0.0292 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.3163 0.0082 0.0000
0.8900 0.3956 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.2999 0.0292 0.0000
1.0437 0.8205 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.2557 0.0428 0.0000
1.1975 1.2453 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.1858 0.0429 0.0000
1.3513 1.6700 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0953 0.0244 0.0000
1.5053 2.0947 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0035 -0.0035 0.0000
1.6595 2.5193 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.8138 2.9438 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.9683 3.3682 -443163.4889 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
